08/03/2021 Monday 00:04:27 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":1,"user_idx":6,"user_name":"홍길동","user_status":"A","user_tp":"T","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"7","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T07:51:26.000Z"},"userRoom":{"id":120,"user_idx":6,"room_id":14,"host_user":1,"socket_id":null,"update_time":"2021-03-08T00:04:27.000Z","device":0,"status":"1","connecting":1}} | 
08/03/2021 Monday 06:59:53 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":1,"user_idx":6,"user_name":"홍길동","user_status":"A","user_tp":"T","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"7","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T07:51:26.000Z"},"userRoom":{"id":123,"user_idx":6,"room_id":15,"host_user":1,"socket_id":"IPOuR8vuOie_Qaj9AABl","update_time":"2021-03-08T06:58:45.000Z","device":0,"status":"1","connecting":0}} | 
08/03/2021 Monday 07:00:00 | INFO | main-socket.log | disconnect to socket | DATA: {"user":{"id":1,"user_idx":6,"user_name":"홍길동","user_status":"A","user_tp":"T","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"7","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T07:51:26.000Z"},"userRoom":{"id":123,"user_idx":6,"room_id":15,"host_user":1,"socket_id":"IPOuR8vuOie_Qaj9AABl","update_time":"2021-03-08T06:58:45.000Z","device":0,"status":"1","connecting":0}} | 
08/03/2021 Monday 07:00:03 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":1,"user_idx":6,"user_name":"홍길동","user_status":"A","user_tp":"T","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"7","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T07:51:26.000Z"},"userRoom":{"id":123,"user_idx":6,"room_id":15,"host_user":1,"socket_id":"ISx6cG77GIvyBup0AABm","update_time":"2021-03-08T06:58:45.000Z","device":0,"status":"1","connecting":0}} | 
08/03/2021 Monday 07:00:21 | INFO | main-socket.log | disconnect to socket | DATA: {"user":{"id":1,"user_idx":6,"user_name":"홍길동","user_status":"A","user_tp":"T","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"7","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T07:51:26.000Z"},"userRoom":{"id":123,"user_idx":6,"room_id":15,"host_user":1,"socket_id":"ISx6cG77GIvyBup0AABm","update_time":"2021-03-08T06:58:45.000Z","device":0,"status":"1","connecting":0}} | 
08/03/2021 Monday 07:00:21 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":1,"user_idx":6,"user_name":"홍길동","user_status":"A","user_tp":"T","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"7","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T07:51:26.000Z"},"userRoom":{"id":123,"user_idx":6,"room_id":15,"host_user":1,"socket_id":"aDJqkUHoKV5WZNOtAABn","update_time":"2021-03-08T06:58:45.000Z","device":0,"status":"1","connecting":0}} | 
08/03/2021 Monday 07:01:48 | INFO | webrtc-socket.log | share-scream | DATA: {"userId":6} | 
08/03/2021 Monday 07:01:48 | INFO | webrtc-socket.log | edit-stream | DATA: {"userId":6} | 
08/03/2021 Monday 07:01:53 | INFO | webrtc-socket.log | share-scream | DATA: {"userId":6} | 
08/03/2021 Monday 07:01:53 | INFO | webrtc-socket.log | edit-stream | DATA: {"userId":6} | 
08/03/2021 Monday 07:03:00 | INFO | main-socket.log | disconnect to socket | DATA: {"user":{"id":1,"user_idx":6,"user_name":"홍길동","user_status":"A","user_tp":"T","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"7","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T07:51:26.000Z"},"userRoom":{"id":123,"user_idx":6,"room_id":15,"host_user":1,"socket_id":"aDJqkUHoKV5WZNOtAABn","update_time":"2021-03-08T06:58:45.000Z","device":0,"status":"1","connecting":0}} | 
08/03/2021 Monday 07:43:55 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
08/03/2021 Monday 07:43:55 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
08/03/2021 Monday 08:09:47 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
08/03/2021 Monday 08:09:47 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
08/03/2021 Monday 08:42:48 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
08/03/2021 Monday 08:42:48 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
08/03/2021 Monday 09:04:47 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
08/03/2021 Monday 09:04:47 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
08/03/2021 Monday 09:26:47 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
08/03/2021 Monday 09:26:47 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
08/03/2021 Monday 09:57:47 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
08/03/2021 Monday 09:57:47 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
08/03/2021 Monday 10:18:47 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
08/03/2021 Monday 10:18:47 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
08/03/2021 Monday 10:29:47 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
08/03/2021 Monday 10:29:47 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
08/03/2021 Monday 10:47:48 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
08/03/2021 Monday 10:47:48 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
08/03/2021 Monday 11:10:47 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
08/03/2021 Monday 11:10:47 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
08/03/2021 Monday 11:30:55 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
08/03/2021 Monday 11:30:55 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
08/03/2021 Monday 11:55:50 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
08/03/2021 Monday 11:55:50 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
08/03/2021 Monday 15:43:54 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
08/03/2021 Monday 15:43:54 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
08/03/2021 Monday 23:43:54 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":26,"user_idx":62,"user_name":"학생28","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"28","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:42.000Z"},"userRoom":null} | 
08/03/2021 Monday 23:43:54 | INFO | main-socket.log | collect to socket | DATA: {"user":{"id":25,"user_idx":64,"user_name":"학생30","user_status":"A","user_tp":"S","schul_nm":"옥정초등학교","grade":"1","class_nm":"1","class_no":"30","sc_code":"J10","schul_code":"7602136","app_key":"BNrDBCr81Om9akb3TBq9wSmFLILaA8XGueQXhAiM","created":"2021-03-04T10:30:26.000Z"},"userRoom":null} | 
